Vacio + Add:

92820.0 631.0 101
92400.0 399.0 99
90216.0 302.0 98
94400.0 258.0 101
92792.0 339.0 101
94140.0 469.0 101
93072.0 230.0 101
93168.0 269.0 101
94116.0 255.0 101
94480.0 152.0 101
93336.0 164.0 101
93012.0 212.0 101
93960.0 178.0 101
94340.0 189.0 101
95492.0 212.0 101
93704.0 238.0 101
93608.0 190.0 100
91608.0 240.0 99
92552.0 248.0 101
93404.0 220.0 101

Vacio + Add + Swap1:

93620.0 909.0 123
94784.0 797.0 126
91664.0 614.0 120
94748.0 648.0 117
93364.0 718.0 119
94536.0 659.0 119
93820.0 662.0 128
93616.0 666.0 118
94620.0 762.0 121
94988.0 604.0 116
94092.0 681.0 122
93416.0 710.0 119
94564.0 701.0 126
94804.0 655.0 118
95872.0 676.0 119
94128.0 657.0 116
95096.0 576.0 120
92980.0 751.0 123
93344.0 807.0 137
93884.0 762.0 118

Vacio + Add + Swap2: 

93012.0 1295.0 106
92432.0 1109.0 100
91276.0 912.0 107
94512.0 986.0 108
92980.0 1140.0 110
94380.0 906.0 109
93236.0 719.0 106
93272.0 792.0 107
94164.0 939.0 105
94404.0 709.0 103
93384.0 819.0 106
93012.0 970.0 101
94104.0 683.0 103
94340.0 846.0 105
95584.0 965.0 106
93760.0 935.0 104
93668.0 688.0 103
91676.0 835.0 104
92440.0 855.0 109
93488.0 805.0 111

Vacio + Add + Swap1 + Swap2: 

93700.0 1727.0 127
94804.0 1364.0 127
93492.0 1460.0 135
94724.0 1438.0 120
93376.0 1738.0 122
94696.0 1451.0 122
93884.0 1376.0 132
93676.0 1324.0 121
94604.0 1357.0 121
94988.0 1142.0 118
94196.0 1396.0 126
93340.0 1471.0 120
94548.0 1136.0 126
94800.0 1282.0 120
95904.0 1364.0 119
94224.0 1305.0 119
95056.0 1099.0 123
93016.0 1407.0 126
93176.0 1555.0 139
93924.0 1720.0 121
